case_number,date,year,type,country,area,location,activity,sex,age,injury,fatal_(y/n),species,investigator_or_source,pdf,href_formula,original_order
1958.07.04.b,04-jul-58,1958,sea disaster,pacific ocean,between hawaii & wake island,600 miles northwest of honolulu,u.s. airforce c124 enroute from hickham air base to japan went down. the 3 survivors fashioned raft from mailbags  & were rescued 3 days after the crash.,m,,fatal,y,sharks averaged 1.8 m [6'] in length,"evening star (washington d.c.), 7/7/1958, p. a10; g.a. llano in sharks and survival, pp.382-383; v.m. coppleson (1962), p.259",1958.07.04.b-robinson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.07.04.b-robinson.pdf,2069
1958.07.04.a,04-jul-58,1958,sea disaster,pacific ocean,between hawaii & wake island,600 miles northwest of honolulu,u.s. airforce c124 enroute from hickham air base to japan went down. the 3 survivors fashioned raft from mailbags  & were rescued 3 days after the crash.,m,31.0,left shoulder bitten,n,sharks averaged 1.8 m [6'] in length,"evening star (washington d.c.), 7/7/1958, p. a10; g.a. llano in sharks and survival, pp.382-383; v.m. coppleson (1962), p.259",1958.07.04.a-brown.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.07.04.a-brown.pdf,2068
1958.07.02,02-jul-58,1958,provoked,usa,florida,"siesta key, sarasota county",free diving,m,20.0,"he grabbed shark, it bit his leg below the knee provoked incident",n,"nurse shark, 1.5 m [5']  identified by dr. e. clark on description of shark","e. clark; h. d. baldridge, p.26",1958.07.02-hamlin.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.07.02-hamlin.pdf,2067
1958.07.01,01-jul-58,1958,unprovoked,papua new guinea,"new ireland province, bismarck archipelago","maritzoan, east coast of namatanai",swimming,m,38.0,"fatal, left arm severed",y,nan,"dept of public health, namatani; a. m. rapson, p. 149",1958.07.01-toapindak.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.07.01-toapindak.pdf,2066
1958.07.00.b,not defined,1958,unprovoked,bahamas,abaco islands,north of walkers cay,"spearfishing, had fish on his spear",m,36.0,"no injury, shark went for diver's leg & missed, diver hit shark on head with speargun & shark bit speargun",n,"tiger shark, <2 m tl","s. waterman, gsaf",1958.07.00.b-waterman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.07.00.b-waterman.pdf,2065
1958.07.00.a,not defined,1958,unprovoked,usa,florida,"sarasota, sarasota county",nan,m,,both were bitten on feet by sharks,n,nan,"r. f. hutton; t. helm, p.239",1958.07.00.a-nv-sarasota.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.07.00.a-nv-sarasota.pdf,2064
1958.06.26,26-jun-58,1958,provoked,usa,florida,"sanibel island, lee county",wading,m,59.0,right foot bitten when he walked into shark's head provoked incident,n,"nurse shark, 2.1 m [7']  identified by dr. e. clark on color & tooth impressions","e. clark; dr. greenwood; r.f. hutton; randall in sharks & survival, p.357; t. helm, p.237",1958.06.26-cockerill.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.06.26-cockerill.pdf,2063
1958.06.24,24-jun-58,1958,unprovoked,usa,florida,"turtle beach, siesta key, sarasota county",walking,m,17.0,lower left leg & foot bitten,n,tiger shark?,"e. clark; r. skocik, pp.172-173; h.d. baldridge, p.26",1958.06.24-mahala.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.06.24-mahala.pdf,2062
1958.06.17,17-jun-58,1958,provoked,usa,florida,key biscayne,"swimming, towing the shark",m,,thigh bitten provoked incident,n,"nurse shark, 1.1 m [3.5']","randall in sharks & survival, pp.357",1958.06.17-irving.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.06.17-irving.pdf,2061
1958.06.15,15-jun-58,1958,invalid,australia,queensland,green island,swimming,f,,"injuries caused by coral, not the  shark",n,5' shark,"natal mercury, 6/18/1958",1958.06.15-swimmers.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.06.15-swimmers.pdf,2060
1958.06.02.r,not defined,1958,invalid,south africa,kwazulu-natal,king reef off park rynie,spearfishing,m,,injuries not caused by sharks,n,nan,"daily news, 6/2/1958",1958.06.02-mcgregor-franken.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.06.02-mcgregor-franken.pdf,2059
1958.04.30,30-apr-58,1958,provoked,usa,florida,1 mile off miami beach,free diving,m,29.0,"grabbed shark�s tail, shark bit his thigh provoked incident",n,"nurse shark, 1.5 m [5']","miami herald,  may 1, 1958",1958.04.30-bowers.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.04.30-bowers.pdf,2058
1958.04.19,19-apr-58,1958,unprovoked,taiwan,taipei hsien,off cape of pi-tou,diving,m,29.0,right cheek bitten,n,"mako shark, 100-kg [221-lb]",w.h. yu,1958.04.19-chang.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.04.19-chang.pdf,2057
1958.04.05,05-apr-58,1958,unprovoked,south africa,kwazulu-natal,uvongo,paddling in knee-deep water,f,28.0,fatal,y,3 m [10'] shark,"g.s. perry, m. levine, gsaf",1958.04.05-bester.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.04.05-bester.pdf,2056
1958.04.03,03-apr-58,1958,unprovoked,south africa,kwazulu-natal,port edward,swimming with goggles,m,29.0,"fatal, arm severed above elbow, abdomen & leg bitten",y,3 m [10'] shark,"m. levine, gsaf",1958.04.03-badenhorst.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.04.03-badenhorst.pdf,2055
1958.04.00,not defined,1958,unprovoked,papua new guinea,morobe province,"nasigilatu (near malasanga, finschhafen, in the huon gulf)","fishing, holding fish in his left hand",m,,left forearm amputated,n,nan,"a.d. campbell; a.m. rapson, p.149",1958.04.00-nasigilatu.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.04.00-nasigilatu.pdf,2054
1958.02.19,19-feb-58,1958,invalid,australia,new south wales,nan,spearfishing,m,21.0,"disappeared while diving, speargun recovered, 2 large sharks in vicinity.",y,nan,"durban daily news, 2/20/1958",1958.02.19-blair.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.02.19-blair.pdf,2053
1958.02.01,01-feb-58,1958,provoked,usa,us virgin islands,water island,spearfishing on scuba,m,18.0,chest bitten by speared shark provoked incident,n,"nurse shark, 1.5 m [5']","j, randall, p.358 and l. schultz & m. malin, p.545 in sharks & survival",1958.02.01-gerringer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.02.01-gerringer.pdf,2052
1958.01.27,27-jan-58,1958,unprovoked,australia,new south wales,5 miles south of sussex inlet at mouth of berara lake,spearfishing / swimming on surface,m,17.0,right leg lacerated,n,nan,"v.m. coppleson (1962), p.251",1958.01.27-kerwand.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.01.27-kerwand.pdf,2051
1958.01.19,19-jan-58,1958,unprovoked,australia,new south wales,brunswick heads,body surfing,m,14.0,"laceration to left ankle, heel and little toe",n,6' shark,"v.m. coppleson (1962), p.245",1958.01.19-henderson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.01.19-henderson.pdf,2050
1958.01.09.r,not defined,1958,invalid,japan,ibaraki prefecture,mito,nan,m,50.0,torso  recovered from shark,y,8; 206-lb shark,"natal mercury, 1/9/1958",1958.01.09.r-japan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.01.09.r-japan.pdf,2049
1958.01.09,09-jan-58,1958,unprovoked,south africa,kwazulu-natal,scotburgh,swimming,m,,fatal,y,white shark,"m. levine, gsaf",1958.01.09-prinsloo.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.01.09-prinsloo.pdf,2048
1958.00.00.j,not defined,1958,provoked,tonga,vava'u,hunga island,spearfishing,m,,calf avulsed by shark he was holding by the tail provoked incident,n,<1 m shark,dr. s. fonea,1958.00.00.j-tonga.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.00.00.j-tonga.pdf,2047
1958.00.00.i,not defined,1958,provoked,samoa,south pacific ocean,north of northeast samoa,placed hand in disemboweled shark�s jaws,,,hand lacerated provoked incident,n,nan,"v.m. coppleson (1962), p.248",1958.00.00.i-otiai.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.00.00.i-otiai.pdf,2046
1958.00.00.h,not defined,1958,provoked,panama,canal zone,nan,skindiving,m,,"boy seized shark by its tail, shark bit boy�s forearm  provoked incident",n,"18"" to 24"" shark","dr. f. x. schloeder; h.d. baldridge, p.165",1958.00.00.h-panama.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.00.00.h-panama.pdf,2045
1958.00.00.f,not defined,1958,unprovoked,papua new guinea,louisiade archipelago,"brooker island , calvados chain",nan,,,fatal,y,nan,"a.m. rapson, p.149",1958.00.00.f-brookerisland.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.00.00.f-brookerisland.pdf,2044
1958.00.00.e,not defined,1958,unprovoked,papua new guinea,west new britain province,"bulu, talasea",spearfishing,m,,"fatal, back & buttocks bitten",y,nan,"a.m. rapson, p. 149",1958.00.00.e-bulu.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.00.00.e-bulu.pdf,2043
1958.00.00.d,not defined,1958,unprovoked,papua new guinea,west new britain province,"kombe, talasea",spearfishing,m,,"fatal, severe abdominal injuries",y,several sharks involved,"a.m. rapson, p.149",1958.00.00.d-kombe.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.00.00.d-kombe.pdf,2042
1958.00.00.c,not defined,1958,unprovoked,papua new guinea,morobe province,"korem, finschhafen","fishing, holding fish",m,,hand holding the fish was bitten in all 3 cases,n,nan,"a.d. campbell; a. m. rapson, p.149",1958.00.00.c-korem.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.00.00.c-korem.pdf,2041
1958.00.00.b,not defined,1958,boat,south africa,western cape province,plettenberg bay,fishing (trolling),,,no injury to occupants; shark bit propeller,n,white shark,"t. wallett, p.27",1958.00.00.b-plettenburgbay.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.00.00.b-plettenburgbay.pdf,2040
1958.00.00.a,not defined,1958,unprovoked,south africa,kwazulu-natal,makakatana river,"fishing, walking in river to cast",m,,"fatal, right leg severed above knee",y,nan,"j. daniel, m. levine. gsaf",1958.00.00.a-kakatanariver.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1958.00.00.a-kakatanariver.pdf,2039
1957.12.31,31-dec-57,1957,unprovoked,australia,south australia,"port hughes, 100 miles from adelaide in spencer gulf",spearfishing,m,,no injury. shark grabbed fish attached to his belt & towed him seaward.,n,nan,"v.m. coppleson (1962), p.251",1957.12.31-evans.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1957.12.31-evans.pdf,2038
1957.12.30,30-dec-57,1957,unprovoked,south africa,kwazulu-natal,margate,standing,f,14.0,"left arm severed, torso bitten, thigh lacerated, many abrasions",n,1.8 m [6'] shark,"j. painting, dr. feinberg, m. levine, gsaf",1957.12.30-painting.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1957.12.30-painting.pdf,2037
