case_number,date,year,type,country,area,location,activity,sex,age,injury,fatal_(y/n),species,investigator_or_source,pdf,href_formula,original_order
2016.09.18.c,18-sep-16,2016,unprovoked,usa,florida,"new smyrna beach, volusia county",surfing,m,16.0,minor injury to thigh,n,nan,"orlando sentinel, 9/19/2016",2016.09.18.c-nsb.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.18.c-nsb.pdf,5993
2016.09.18.b,18-sep-16,2016,unprovoked,usa,florida,"new smyrna beach, volusia county",surfing,m,36.0,lacerations to hands,n,nan,"orlando sentinel, 9/19/2016",2016.09.18.b-luciano.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.18.b-luciano.pdf,5992
2016.09.18.a,18-sep-16,2016,unprovoked,usa,florida,"new smyrna beach, volusia county",surfing,m,43.0,lacerations to lower leg,n,nan,"orlando sentinel, 9/19/2016",2016.09.18.a-nsb.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.18.a-nsb.pdf,5991
2016.09.17,17-sep-16,2016,unprovoked,australia,victoria,thirteenth beach,surfing,m,,struck by fin on chest & leg,n,nan,"the age, 9/18/2016",2016.09.17-angiolella.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.17-angiolella.pdf,5990
2016.09.15,16-sep-16,2016,unprovoked,australia,victoria,bells beach,surfing,m,,no injury: knocked off board by shark,n,2 m shark,"the age, 9/16/2016",2016.09.16-bellsbeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.16-bellsbeach.pdf,5989
2016.09.15.r,15-sep-16,2016,boat,australia,western australia,bunbury,fishing,,,shark rammed boat. no injury to occupant,n,nan,"west australian, 9/15/2016",2016.09.15.r-boat.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.15.r-boat.pdf,5988
2016.09.11,11-sep-16,2016,unprovoked,usa,florida,"ponte vedra, st. johns county",wading,m,60.0,minor injury to arm,n,3' to 4' shark,"news4jax, 9/11/2016",2016.09.11-pontevedra.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.11-pontevedra.pdf,5987
2016.09.07,07-sep-16,2016,unprovoked,usa,hawaii,"makaha, oahu",swimming,f,51.0,severe lacerations to shoulder & forearm,n,"tiger shark, 10?","hawaii news now, 9/7/2016",2016.09.07-oahu.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.07-oahu.pdf,5986
2016.09.06,06-sep-16,2016,unprovoked,new caledonia,north province,koumac,kite surfing,m,50.0,fatal,y,nan,"tvanouvelles, 9/6/2016",2016.09.06-jewell.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.06-jewell.pdf,5985
2016.09.05.b,05-sep-16,2016,unprovoked,usa,south carolina,"kingston plantation, myrtle beach, horry county",boogie boarding,f,12.0,lacerations & punctures to lower right leg,n,nan,"c. creswell, gsaf",2016.09.05.b-williams.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.05.b-williams.pdf,5984
2016.09.05.a,05-sep-16,2016,unprovoked,australia,western australia,injidup,surfing,m,,"no inury, board broken in half by shark",n,nan,"perth now, 9/5/2016",2016.09.05.a-penman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.05.a-penman.pdf,5983
2016.09.04,04-sep-16,2016,unprovoked,usa,florida,"new smyrna beach, volusia county",body boarding,m,9.0,foot bitten,n,nan,"orlando sentinel, 9/7/2016",2016.09.04-moore.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.04-moore.pdf,5982
2016.09.01,01-sep-16,2016,unprovoked,usa,california,"refugio state beach, santa barbara county",spearfishing,m,22.0,two toes broken & lacerated,n,white shark,"r. collier, gsaf",2016.09.01-mcquillen.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.01-mcquillen.pdf,5981
2016.08.29.b,29-aug-16,2016,unprovoked,usa,florida,"new smyrna beach, volusia county",surfing,m,25.0,lacerations to right foot,n,"bull shark, 6'","news channel 8, 8/30/16",2016.08.29.b-cumiskey.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.29.b-cumiskey.pdf,5980
2016.08.29.a,29-aug-16,2016,unprovoked,usa,florida,"new smyrna beach, volusia county",surfing,m,37.0,minor injury to ankle,n,nan,"news channel 8, 8/30/16",2016.08.29.a-nsb.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.29.a-nsb.pdf,5979
2016.08.27,27-aug-16,2016,unprovoked,reunion,nan,boucan canot,surfing,m,20.0,"right arm severed, ankle severely bitten",n,"bull shark, 3.5 m","ladepeche, 8/29/2016",2016.08.27-chardard.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.27-chardard.pdf,5978
2016.08.25,25-aug-16,2016,unprovoked,usa,florida,"ponte vedra, st. johns county",wading,m,49.0,minor injury to ankle,n,nan,"first coast news, 7/25/2016",2016.08.25-cassetty.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.25-cassetty.pdf,5977
2016.08.07,07-aug-16,2016,unprovoked,bahamas,new providence island,nassau,snorkeling,m,15.0,lacerations to left leg,n,nan,"abc, 8/11/2016",2016.08.07-stoch.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.07-stoch.pdf,5976
2016.08.06,06-aug-16,2016,unprovoked,usa,hawaii,maui,sup foil boarding,m,21.0,"no inury, shark & board collided",n,"tiger shark, 10'","sup, 8/9/2015",2016.08.06-baxter.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.06-baxter.pdf,5975
2016.08.04,04-aug-16,2016,unprovoked,usa,florida,"new smyrna beach, volusia county",surfing,m,22.0,big toe bitten,n,blacktip shark,"news 965, 8/5/2016",2016.06.04-tyler.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.04-tyler.pdf,5974
2016.07.29,29-jul-16,2016,unprovoked,spain,alicante province,arenales del sol,swimming,m,40.0,lacerations to right hand,n,blue shark,"informacion.es, 7/29/2016",2016.07.29-spain.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.29-spain.pdf,5973
2016.07.28.r,28-jul-16,2016,unprovoked,china,hong kong,nan,swimming,m,72.0,lacerations to leg,n,nan,"klassick, 7/28/2016",2016.07.28.r-franz.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.28.r-franz.pdf,5972
2016.07.28,28-jul-16,2016,boat,australia,western australia,near albany,kayaking,m,,"no injury, shark nudged kayak repeatedly",n,white shark,"abc australia, 7/28/2016",2016.07.28-watkins.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.28-watkins.pdf,5971
2016.07.27,27-jul-16,2016,provoked,usa,florida,"florida keys, monroe county",lobstering,m,43.0,laceration to left forearm provoked incident,n,"nurse shark, 4'","tampa bay times, 7/27/2016",2016.07.27-sapp.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.27-sapp.pdf,5970
2016.07.26,26-jul-16,2016,unprovoked,australia,new south wales,"sharpes beach, ballina",surfing,m,18.0,"no injury. leg rope severed, knocked off board by shark",n,nan,"gold coast bulletin, 7/28/2016",2016.07.26-ballina.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.26-ballina.pdf,5969
2016.07.24,24-jul-16,2016,unprovoked,japan,kochi prefecture,irino beach,surfing,m,29.0,lacerations to left leg,n,nan,"japan times, 7/25/2016",2016.07.24-japan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.24-japan.pdf,5968
2016.07.23.b,23-jul-16,2016,unprovoked,australia,tasmania,clifton beach,surfing,m,36.0,calf bumped but no injury,n,nan,"c. black, gsaf",2016.07.23.b-critchlow.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.23.b-critchlow.pdf,5967
2016.07.23.a,23-jul-16,2016,unprovoked,bahamas,abaco islands,green turtle cay,spearfishing,m,,lacerations to face and right leg,n,"bull shark, 6'","kwtx, 7/23/2016",2016.07.23.a-cutbirth.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.23.a-cutbirth.pdf,5966
2016.07.20,20-jul-16,2016,provoked,australia,queensland,"20 k off the spit, off the gold coast",fishing,m,31.0,laceration to left calf from hooked shark provoked incident,n,"reef shark, 1m","nine news, 7/20/2016",2016.07.20-burck.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.20-burck.pdf,5965
2016.07.17,17-jul-16,2016,boat,usa,alabama,8 miles off mobile,fishing in alabama deep fishing rodeo,,,"no injury, shark bit trolling motor",n,"tiger shark, 10'","al.com, 7/19/2016",2016.07.17-gulf.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.17-gulf.pdf,5964
2016.07.16.b,16-jul-16,2016,unprovoked,usa,florida,"new smyrna beach, volusia county",surfing,f,9.0,minor injury to leg,n,nan,"orlando sentinel, 7/21/2016",2016.07.16.b-nsb.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.16.b-nsb.pdf,5963
2016.07.16.a,16-jul-16,2016,unprovoked,usa,florida,"new smyrna beach, volusia county",nan,f,11.0,minor injury to toes,n,nan,"orlando sentinel, 7/21/2016",2016.07.16.a-nsb.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.16.a-nsb.pdf,5962
2016.07.15,15-jul-16,2016,unprovoked,usa,south carolina,"north myrtle beach, horry county",swimming,m,,puncture wounds to foot,n,nan,"c. creswell, gsaf",2016.07.14-myrtlebeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.14-myrtlebeach.pdf,5961
2016.07.14.4,not defined,2016,unprovoked,bahamas,nan,tiger beach,scuba diving,m,,face bruised when partly blind shark collided with him,n,"lemon shark, 9'","grindtv, 7/14/2016",2016.07.14.r-tigerbeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.14.r-tigerbeach.pdf,5960
2016.07.08.r,not defined,2016,unprovoked,spain,canary islands,"las teresitas, tenerife",wading,f,10.0,"5 tiny puncture marks to lower leg, treated with hydrogen peroxide",n,angel shark,la opinion de tenerife,2016.07.08.r-spain.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.08.r-spain.pdf,5959
2016.07.08,08-jul-16,2016,boat,usa,california,"capitola, santa cruz county",fishing for squid,m,,"no injury. hull bitten, tooth fragment recovered",n,white shark,"r. collier, gsaf",2016.07.08-capitolaboat.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.08-capitolaboat.pdf,5958
2016.07.07.b,07-jul-16,2016,provoked,usa,massachusetts,"off gloucester, essec county",fishing,m,59.0,fin of hooked shark injured fisherman's forearm. . provoked incident,n,dogfish shark,salem news 7/8/2016,2016.07.07.b-brissom.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.07.b-brissom.pdf,5957
2016.07.07.a,07-jul-16,2016,boat,usa,california,"off palos verdes peninsula, los angeles county",fishing for sharks,m,,"no injury. hull bitten, tooth fragment recovered",n,white shark,"r. collier, gsaf",2016.07.07.a-poeboat.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.07.a-poeboat.pdf,5956
2016.07.06,06-jul-16,2016,unprovoked,usa,florida,"melbourne beach, brevard county",swimming,f,42.0,"buttocks, thigh, left hand & wrist injured",n,nan,"florida today, 7/6/2016",2016.07.06-njwoman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.06-njwoman.pdf,5955
2016.07.04,04-jul-16,2016,provoked,australia,queensland,palm cove,fishing,m,34.0,right thigh injured by hooked pregnant female shark provoked incident,n,tawny nurse shark,"cairns post, 7/9/2016",2016.07.04-oliver.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.04-oliver.pdf,5954
2016.06.27,27-jun-16,2016,unprovoked,usa,south carolina,sullivan's island,nan,m,35.0,minor injury,n,3' to 4' shark,"c. creswell, gsaf",2016.06.27-sullivans.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.27-sullivans.pdf,5953
2016.06.25,25-jun-16,2016,unprovoked,usa,north carolina,"atlantic beach, emerald isle, carteret county",surfing,m,11.0,foot injured,n,nan,"c. creswell, gsaf",2016.06.25-atlanticbeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.25-atlanticbeach.pdf,5952
2016.06.24,24-jun-16,2016,unprovoked,columbia,isla provedencia,nan,scuba diving,m,59.0,severe bite to right hand,n,"caribbean reef shark, 4.5'",dr. a. velez,2016.06.24-velez.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.24-velez.pdf,5951
2016.06.23,23-jun-16,2016,unprovoked,south africa,western cape province,ryspunt,spearfishing,m,43.0,injuries to left leg & right hand,n,white shark,"news 24, 6/23/2016",2016.06.23-rysport.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.23-rysport.pdf,5950
2016.06.21.b,21-jun-16,2016,unprovoked,usa,south carolina,"north myrtle beach, horry county",floating,m,42.0,lacerations and punctures to foot,n,3' to 5' shark,"c. creswell, gsaf",2016.06.21.b-schott.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.21.b-schott.pdf,5949
2016.06.21.a,21-jun-16,2016,unprovoked,usa,florida,"pelican beach park, satellite beach, brevard county",wading,m,,injuries to right calf,n,nan,"florida today, 6/22/2016",2016.06.21.a-satellitebeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.21.a-satellitebeach.pdf,5948
2016.06.15.b,15-jun-16,2016,unprovoked,usa,hawaii,"kalapaki beach, kauai",surfing,m,,single puncture wound to arm,n,3' to 4' shark,"west hawaii today, 6/16/2016",2016.06.15.b-kauai.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.15.b-kauai.pdf,5947
2016.06.15.a,15-jun-16,2016,provoked,australia,western australia,coral bay,spearfishing,m,19.0,no injury but shark punctured his wetsuit after he prodded it with his spear provoked incident,n,5' shark,"perth now, 6/16/2016",2016.06.15.a-vale.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.15.a-vale.pdf,5946
2016.06.14,14-jun-16,2016,unprovoked,usa,texas,"pirates beach, galveston",floating in tube,f,6.0,injury to lower leg,n,3' to 4' shark,"click2houston, 6/14/2016",2016.06.14-melton.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.14-melton.pdf,5945
2016.06.11,11-jun-16,2016,unprovoked,usa,north carolina,"atlantic beach, emerald isle, carteret county",standing,m,19.0,laceration to wrist,n,3' shark,"c. creswell, gsaf",2016.06.11-bowen.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.11-bowen.pdf,5944
2016.06.07,07-jun-16,2016,invalid,usa,south carolina,"folly beach, charleston county",surfing,m,27.0,"no injury, board damaged",n,said to involve an 8' shark but more likely damage caused by debris,"c. creswell, gsaf",2016.06.07-oneill.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.07-oneill.pdf,5943
2016.06.05.b,05-jun-16,2016,unprovoked,usa,florida,"flagler beach, flagler county",swimming,m,64.0,leg bitten,n,nan,"daytona beach news-journal, 6/5/2016",2016.06.05.b-flagler.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.05.b-flagler.pdf,5942
2016.06.05.a,05-jun-16,2016,unprovoked,australia,western australia,mindarie,diving,f,60.0,fatal,y,3+ m shark,"b. myatt, gsaf",2016.06.05.a-collyer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.05.a-collyer.pdf,5941
2016.06.04,04-jun-16,2016,unprovoked,egypt,suez,ain sokhna,swimming,m,23.0,"leg severely bitten, surgically amputated",n,mako shark,"ahram online, 6/4/2016",2016.06.04-qader.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.04-qader.pdf,5940
2016.06.02.b,02-jun-16,2016,unprovoked,australia,new south wales,kingscliff,spearfishing,m,,"no injury, but sharks repeatedly hit their fins and guns",,bronze whaler sharks x 3,"gold coast bulletin, 6/4/2016",2016.06.02.b-matigan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.02.b-matigan.pdf,5939
2016.06.02.a,02-jun-16,2016,unprovoked,new caledonia,nan,"c�te-blanche, noum�a",kite surfing,m,,laceration to heel,n,3 m shark,"les nouvelles caledoniennes, 6/3/2016",2016.06.02.a-pierre.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.02.a-pierre.pdf,5938
2016.05.31,31-may-16,2016,unprovoked,australia,western australia,"falcon beach, mandurah",surfing,m,29.0,fatal,y,white shark,"perth now, 5/31/2016",2016.05.31-gerring.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.31-gerring.pdf,5937
2016.05.29.b,29-may-16,2016,unprovoked,usa,california,"corona del mar, newport, orange county",swimming,f,52.0,injuries to arm and shoulder,n,nan,"r. collier, gsaf",2016.05.29.b-corona.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.29.b-corona.pdf,5936
2016.05.29.a,29-may-16,2016,unprovoked,usa,florida,"neptune, duval county",swimming,m,13.0,injury to posterior right leg,n,5' shark,"news4jax, 5/29/2016",2016.05.29.a-neptune.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.29.a-neptune.pdf,5935
2016.05.22,22-may-16,2016,unprovoked,usa,florida,"vero beach, indian river county",swimming,f,57.0,puncture wounds to thigh,n,nan,"florida today, 5/22/2016",2016.05.22-marcus.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.22-marcus.pdf,5934
2016.05.21.b,21-may-16,2016,unprovoked,usa,florida,"st. petersburg, pinellas county",swimming,f,22.0,lacerations and puncture wounds to foot and ankle,n,"bull shark, 4' to 5'","abc action news, 6/15/2016",2016.05.21.b-magee.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.21.b-magee.pdf,5933
2016.05.21.a,21-may-16,2016,unprovoked,usa,florida,"hugenot beach , jacksonville, duval county",swimming,f,11.0,"back, arm & hand injured",n,nan,"action news jax, 5/23/2016",2016.05.21.a-girl.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.21.a-girl.pdf,5932
2016.05.18,18-may-16,2016,unprovoked,usa,florida,"ponte vedra, st. johns county",swimming,m,48.0,ankle bitten,n,"blacktip shark, 4'","news4jax, 5/19/2016",2016.05.18-wilson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.18-wilson.pdf,5931
2016.05.15,15-may-16,2016,provoked,usa,florida,"boca raton, palm beach county",teasing a shark,f,23.0,arm grabbed provoked incident,n,"nurse shark, 2'","cbs news, 5/16/2016",2016.05.15-boca.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.15-boca.pdf,5930
2016.05.03,03-may-16,2016,unprovoked,usa,hawaii,"wailea beach, maui",floating,m,59.0,minor lacerations to right shoulder,n,nan,"maui now, 5/3/2016",2016.05.03-maui.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.03-maui.pdf,5929
2016.05.02,02-may-16,2016,provoked,new zealand,north island,cormandel,fishing,m,39.0,foot bitten by landed shark provoked incident,n,"mako shark, 1.5 m [5']",radio new zealand  5/3/2016,2016.05.02-nz-pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.02-nz-pdf,5928
2016.04.25,25-apr-16,2016,unprovoked,indonesia,bali,balian,surfing,m,24.0,elbow bitten,n,"bull shark, 6'","news.com.au, 4/26/2016",2016.04.25-boarman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.25-boarman.pdf,5927
2016.04.23,23-apr-16,2016,unprovoked,usa,florida,"new smyrna beach, volusia county",surfing,m,15.0,minor injury to left foot,n,nan,"news4jax, 4/23/2016",2016.04.23-beardall.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.23-beardall.pdf,5926
2016.04.22,22-apr-16,2016,unprovoked,south africa,western cape province,"robberg beach, plettenberg bay",surf-skiing,m,,"no injury, surf-ski bitten",n,white shark,"knysna-plett herald, 4/22/2016",2016.04.22-manson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.22-manson.pdf,5925
2016.04.19,19-apr-16,2016,unprovoked,australia,new south wales,"first sun beach, byron bay",swimming,m,12.0,minor puncture wound to foot,n,wobbegong shark,"gold coast bulletin, 4/19/2016",2016.04.19-kedem.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.19-kedem.pdf,5924
2016.04.18,18-apr-16,2016,provoked,french polynesia,tuamotos,makemo atoll,spearfishing,m,26.0,"severe lacerations to right forearm, hand and calf from speared shark provoked incident",n,"grey reef shark, 2 m","tahiti infos, 4/19/2016",2016.04.18-tokoragi.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.18-tokoragi.pdf,5923
2016.04.13,13-apr-16,2016,unprovoked,usa,florida,"off singer island, palm beach county",spearfishing,m,26.0,multiple bites to right arm,n,"bull shark, 7'","palm beach post, 4/13/2016",2016.04.13-senkowicz.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.13-senkowicz.pdf,5922
2016.04.09,09-apr-16,2016,unprovoked,new caledonia,grand terre,poe beach,walking,f,69.0,fatal,y,"tiger shark, 2.5 m",les nouvelles caledonnie. 4/11/2016,2016.04.09-malignon.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.09-malignon.pdf,5921
2016.04.08,08-apr-16,2016,invalid,cape verde,boa vista island,nan,nan,m,60.0,"""serious""",n,shark involvement not confirmed,l.o.guttke,2016.04.08-capeverde.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.08-capeverde.pdf,5920
2016.04.07.b,07-apr-16,2016,unprovoked,usa,florida,"florida keys, monroe county",fishing,m,34.0,left hand bitten,n,5' to 6' shark,nan,2016.04.07.b-lester.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.07.b-lester.pdf,5919
2016.04.07.a,07-apr-16,2016,invalid,usa,florida,"corners beach, jupiter, palm beach county",sup,m,,fell off board when spinner shark leapt from the water next to him. no injury to surfer,n,nan,youtube,2016.04.07.a-trinidad.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.07.a-trinidad.pdf,5918
2016.03.31,31-mar-16,2016,unprovoked,usa,hawaii,"olowalu, maui",snorkeling,f,46.0,minor injury to left foot,n,nan,"maui now, 3/31/2016",2016.03.31-orr.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.31-orr.pdf,5917
2016.03.30,30-mar-16,2016,unprovoked,australia,new south wales,bombo beach,surfing,m,22.0,severe injury to thigh,n,nan,"daily telegraph, 3/30/2016",2016.03.30-connellan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.30-connellan.pdf,5916
2016.03.28.b,28-mar-16,2016,unprovoked,usa,florida,"fort myers beach, lee county",nan,m,,minor injury to arm. possibly caused by smalll nurse shark,n,shark involvement not confirmed,"fox 35, 3/30/2015",2016.03.28.b-kawa.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.28.b-kawa.pdf,5915
2016.03.28.a,28-mar-16,2016,unprovoked,australia,new south wales,north cronulla beach,surfing,m,41.0,"no injury, board dented",n,nan,"b. myatt, gsaf",2013.03.28.a-smyth.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.03.28.a-smyth.pdf,5914
2016.03.26,26-mar-16,2016,provoked,bahamas,nan,nan,nan,m,9.0,minor injury to chest provoked incident,n,"nurse shark, 2.5-ft","wisconsin state journal, 4/2/2016",2016.03.26-kreckman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.26-kreckman.pdf,5913
2016.03.13,13-mar-16,2016,invalid,usa,california,"bolsa chica state park, orange county",surfing,,,board reportedly bumped by shark. no injury,n,shark involvement not confirmed,"orange county register, 3/13/2016",2016.03.13-bolsachicasurfer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.13-bolsachicasurfer.pdf,5912
2016.03.11,11-mar-16,2016,unprovoked,usa,florida,"vero beach, st. lucie county",body surfing,m,19.0,lacerations to right foot and ankle,n,nan,"wcbv-5, 3/31/206",2016.03.11-kenny.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.11-kenny.pdf,5911
2016.03.10,10-mar-16,2016,unprovoked,fiji,vanua levu,nan,diving for beche-de-mer,m,45.0,fatal,y,nan,"fiji sun, 3/12/2016",2016.03.10-tabua.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.10-tabua.pdf,5910
2016.03.04,04-mar-16,2016,unprovoked,usa,florida,"ocean reef park, singer island, palm beach county",nan,m,12.0,superficial injury to foot,n,nan,wptv. 3/4/2016,2016.03.04-ocpark.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.04-ocpark.pdf,5909
2016.03.03.r,not defined,2016,unprovoked,australia,south australia,wrights bay,fishing,m,,puncture wounds to right calf,n,bronze whaler,"9 news, 3/1/2016",2016.03.03.r-taplin.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.03.r-taplin.pdf,5908
2016.03.02,02-mar-16,2016,unprovoked,brazil,santa catarina state,escalerio beach balne�rio cambori�,swimming,m,41.0,minor injury to head,n,sandtiger shark,"misones online, 3/4/2016",2016.03.02-thomas.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.02-thomas.pdf,5907
2016.02.22,22-feb-16,2016,unprovoked,new caledonia,south province,"ricaudy reef, noumea",kite surfing,m,21.0,puncture wounds to right thigh,n,nan,"les nouvelles cal�doniennes, 2/23/2016",2016.02.22-noumea.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.22-noumea.pdf,5906
2016.02.19,not defined,2016,unprovoked,new caledonia,south province,yate,spearfishing,m,31.0,forearm bitten,n,nan,"les nouvelles cal�doniennes, 2/19/2016",2016.02.19-newcaledonia.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.19-newcaledonia.pdf,5905
2016.02.12,12-feb-16,2016,unprovoked,dominican republic,altagracia province,"bavaro beach, punta cana",wading,f,,avulsion injury to lower leg,n,nan,s. harris,2016.02.12-howe.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.12-howe.pdf,5904
2016.02.10.r,not defined,2016,invalid,cayman islands,grand cayman,stingray city bar,feeding stingrays?,m,65.0,minor injury to wrist from southern stingray,n,no shark involvement,r. branson,2016.02.10.r-branson-stingray.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.10.r-branson-stingray.pdf,5903
2016.02.10,10-feb-16,2016,invalid,australia,tasmania,nettley bay,surfing,m,,"no injury, knocked off board",n,no shark involvement,"c. black, gsaf",2016.02.11-nettleybay.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.11-nettleybay.pdf,5902
2016.02.05,05-feb-16,2016,unprovoked,australia,queensland,stradbroke island,walking,f,45.0,foot nipped,n,nan,"courier mail, 2/5/2016",2016.02.05-stradbroke.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.05-stradbroke.pdf,5901
2016.02.04,04-feb-16,2016,unprovoked,australia,new south wales,hams beach,windsurfing,m,40.0,"no injury, shark bit board",n,nan,"b. myatt, gsaf",2016.02.04-morris.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.04-morris.pdf,5900
2016.01.29,29-jan-16,2016,boat,south africa,kwazulu-natal,nan,kayak fishing,m,,"no injury, shark capsized kayak",n,nan,"nine news, 2/1/2016",2016.01.29-delange.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.29-delange.pdf,5899
